iterations, matrix_dim, etime, flops
3376, 1024, 0.397823, 44492055210.483055
3376, 1024, 0.420567, 42085952725.725037
3376, 1024, 0.504855, 35059498034.088997
3376, 1024, 0.403895, 43823178994.540657
3376, 1024, 0.408663, 43311880155.531578
3376, 1024, 0.393474, 44983818193.832375
3376, 1024, 0.423002, 41843686034.581398
3376, 1024, 0.420339, 42108780960.129807
3376, 1024, 0.425635, 41584838840.790817
3376, 1024, 0.420201, 42122610084.221603
3376, 1024, 0.418427, 42301196815.693062
3376, 1024, 0.393146, 45021347997.944786
3376, 1024, 0.392202, 45129710914.273766
3376, 1024, 0.403710, 43843260954.645668
3376, 1024, 0.400112, 44237520694.205627
3376, 1024, 0.406776, 43512800361.869926
3376, 1024, 0.461589, 38345720716.914833
3376, 1024, 0.420134, 42129327500.273720
3376, 1024, 0.426537, 41496899167.012474
3376, 1024, 0.519117, 34096288274.127029
3376, 1024, 0.413496, 42805644746.261154
3376, 1024, 0.414636, 42687954929.142670
3376, 1024, 0.419145, 42228734399.790047
3376, 1024, 0.413669, 42787743050.603256
3376, 1024, 0.416915, 42454607965.652473
3376, 1024, 0.432476, 40927040760.643372
3376, 1024, 0.411342, 43029797297.625824
3376, 1024, 0.415954, 42552693038.172493
3376, 1024, 0.421042, 42038473311.451118
3376, 1024, 0.412287, 42931169015.758446
3376, 1024, 0.411367, 43027182248.454544
3376, 1024, 0.428529, 41304002482.912476
3376, 1024, 0.429762, 41185500067.479210
3376, 1024, 0.419303, 42212821944.989662
3376, 1024, 0.408392, 43340620972.007286
3376, 1024, 0.422801, 41863578562.964615
3376, 1024, 0.426581, 41492618939.896530
3376, 1024, 0.421691, 41973774351.361542
3376, 1024, 0.420874, 42055253781.416771
3376, 1024, 0.417515, 42393597547.393509
3376, 1024, 0.422238, 41919398254.065239
3376, 1024, 0.412070, 42953776979.639381
3376, 1024, 0.417198, 42425809519.700485
3376, 1024, 0.423424, 41801983071.342201
3376, 1024, 0.425931, 41555939530.111687
3376, 1024, 0.434001, 40783230637.717430
3376, 1024, 0.411874, 42974217551.969780
3376, 1024, 0.420062, 42136548604.729782
3376, 1024, 0.408761, 43301496179.919319
3376, 1024, 0.423445, 41799909976.502266
3376, 1024, 0.431172, 41050817028.935089
3376, 1024, 0.449690, 39360365763.081238
3376, 1024, 0.426883, 41463264829.004669
3376, 1024, 0.452314, 39132025274.477463
3376, 1024, 0.437835, 40426103166.718056
3376, 1024, 0.412232, 42936896893.011703
3376, 1024, 0.424063, 41738993687.258736
3376, 1024, 0.423495, 41794974863.929924
3376, 1024, 0.427766, 41377675832.113823
3376, 1024, 0.424792, 41667363980.489273
3376, 1024, 0.430627, 41102770797.000656
3376, 1024, 0.425010, 41645991576.668785
3376, 1024, 0.410063, 43164008652.329041
3376, 1024, 0.412122, 42948357234.022934
3376, 1024, 0.420223, 42120404832.672180
3376, 1024, 0.419259, 42217252056.604630
3376, 1024, 0.412078, 42952943083.590973
3376, 1024, 0.427441, 41409136886.728233
3376, 1024, 0.421060, 42036676198.166534
3376, 1024, 0.424383, 41707520989.295052
3376, 1024, 0.434830, 40705477726.927765
3376, 1024, 0.432030, 40969291206.629173
3376, 1024, 0.426077, 41541699927.477898
3376, 1024, 0.420830, 42059650880.403015
3376, 1024, 0.436384, 40560522108.968246
3376, 1024, 0.419704, 42172490326.515831
3376, 1024, 0.421852, 41957755042.052666
3376, 1024, 0.431369, 41032069712.937187
3376, 1024, 0.431477, 41021799261.606064
3376, 1024, 0.472531, 37457781351.911308
3376, 1024, 0.495868, 35694908483.709373
3376, 1024, 0.427857, 41368875301.794762
3376, 1024, 0.430005, 41162225741.561150
3376, 1024, 0.477247, 37087635710.648788
3376, 1024, 0.434091, 40774775058.685852
3376, 1024, 0.419396, 42203461358.715866
3376, 1024, 0.424960, 41650891566.265060
3376, 1024, 0.404102, 43800730706.603783
3376, 1024, 0.441142, 40123050809.036545
3376, 1024, 0.430179, 41145576329.853386
3376, 1024, 0.418980, 42245364647.477211
3376, 1024, 0.417479, 42397253227.108429
3376, 1024, 0.426301, 41519871827.652290
3376, 1024, 0.453714, 39011277765.288261
3376, 1024, 0.445523, 39728505329.691170
3376, 1024, 0.532379, 33246921610.356537
3376, 1024, 0.453378, 39040189157.832977
3376, 1024, 0.427941, 41360755057.356041
3376, 1024, 0.427107, 41441519057.285416
3376, 1024, 0.421265, 42016219909.083359
